2016-06-01,0,0,0,0,0,35,14,0,8,0,0,0,74,0,0,198,36,608,48,0,231,1365,1382,275,246,0,357,6,211,0,157,0,286,0,316,0,0,0,0,0,36,407,0,46,61,549,91,251,262,351,0,0,25,16,34,0,113,0,10,8,6,1
2016-06-02,0,0,0,20,91,47,8,51,0,0,31,36,13,0,160,192,118,58,94,152,0,52,41,695,105,0,0,245,0,139,10,0,348,0,0,0,106,225,0,0,0,0,0,0,11,0,30,57,0,7,38,18,0,0,4,0,35,0,7,0,0,1
2016-06-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,79,21,57,47,7,9,293,165,37,11,0,21,179,379,380,40,54,0,48,308,12,6,0,35,0,7,0,40,81,0,0,79,95,362,0,0,0,10,62,8,0,27,0,158,0,0,1
2016-06-04,0,40,0,0,0,0,0,17,0,0,0,34,13,0,0,268,669,38,0,184,45,133,63,0,0,52,6,57,40,134,19,0,0,12,33,0,14,15,0,0,0,13,0,27,9,0,0,342,216,0,18,0,33,0,14,0,0,0,28,0,0,0
2016-06-05,0,0,10,15,268,0,0,0,0,0,39,32,0,0,0,38,0,0,0,66,45,0,0,0,37,0,64,0,0,89,4,0,66,46,318,213,8,0,43,184,172,63,257,182,0,0,36,7,0,0,274,0,0,11,34,190,391,20,8,0,0,1
2016-06-06,0,0,0,0,0,0,6,0,40,15,0,34,45,0,32,6,30,12,322,9,307,90,0,105,8,21,299,0,214,259,18,27,310,61,188,94,414,0,0,264,43,10,4,7,0,0,0,16,15,18,24,0,7,0,0,0,0,31,2,28,0,1
2016-06-07,28,54,0,0,24,14,45,77,7,89,0,48,27,23,62,21,30,32,39,16,18,19,559,146,46,5,0,29,7,0,0,0,0,5,0,0,0,0,0,0,0,0,17,79,9,12,18,22,13,16,0,6,8,0,8,6,0,24,30,18,0,0
2016-06-08,36,137,302,0,359,83,428,11,79,215,246,67,37,229,78,4,332,251,468,540,0,0,0,125,0,283,0,0,24,0,0,46,25,5,0,0,11,141,60,144,0,26,36,0,85,456,924,1021,674,80,107,808,0,0,0,0,0,0,250,564,0,1
2016-06-09,119,13,0,124,119,89,57,0,0,0,28,199,0,102,201,97,195,0,87,15,65,16,0,0,832,122,204,10,40,263,10,135,5,362,94,35,0,0,30,5,4,28,0,10,7,50,30,0,72,0,9,138,396,76,0,84,0,0,0,0,0,1
2016-06-10,0,31,0,160,0,73,0,0,0,0,21,0,18,31,4,0,56,0,0,0,0,0,0,0,0,0,50,7,0,0,0,0,0,51,25,0,0,0,40,0,17,0,0,10,9,0,0,37,4,24,0,0,0,15,0,0,0,0,25,0,0,0
2016-06-11,0,0,0,0,0,12,9,22,23,0,0,0,0,0,107,10,0,0,0,70,280,15,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,18,7,11,0,0,33,0,0,0,168,0,0,0,0,11,30,0,0,0,0,0,0,0,6,0
2016-06-12,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,147,290,8,0,0,0,9,205,222,11,33,0,0,0,0,47,0,0,0,0,0,0,0,0,19,0,116,0,13,0,12,0,0,0,0,0,0,0,0,101,0,0,53,0,0,0
2016-06-13,0,0,0,0,0,0,0,0,0,0,0,92,210,254,492,115,280,506,101,81,14,132,250,74,8,10,49,27,43,8,0,100,199,180,189,251,229,162,207,370,362,170,749,20,8,0,0,935,0,0,0,0,0,0,0,433,611,12,31,139,0,1
2016-06-14,0,0,64,0,0,56,0,0,0,0,0,0,0,0,9,20,0,0,0,70,46,788,1130,72,0,137,621,0,577,288,0,197,69,606,52,167,0,720,198,12,0,12,41,13,43,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-06-15,0,0,0,81,0,0,0,0,0,0,0,16,14,0,0,0,0,0,130,24,32,0,22,69,513,89,0,0,368,453,0,0,0,0,0,70,64,0,0,79,34,20,0,18,29,85,0,0,0,57,20,0,0,0,0,0,0,0,0,0,0,0
2016-06-16,0,0,32,107,69,0,15,0,36,49,0,0,23,0,105,141,104,20,101,4,53,0,0,16,824,335,4,38,303,81,141,0,21,45,0,0,0,0,0,80,26,0,0,236,30,0,0,9,0,31,0,0,0,0,43,5,27,23,7,0,0,1
2016-06-17,0,9,87,0,66,70,0,0,0,0,0,0,0,0,25,141,31,26,10,0,0,0,7,99,0,37,0,0,21,232,44,9,0,34,21,18,0,59,0,29,22,0,29,224,246,36,51,27,0,10,0,0,0,0,0,12,0,25,18,43,0,0
2016-06-18,18,44,36,0,130,1229,669,207,185,51,25,64,397,1181,1407,1224,1463,176,69,31,361,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,68,0,0,0,8,0,97,0,0,0,0,0,0,0,0,1
2016-06-19,0,42,0,0,0,0,0,0,0,25,53,0,0,0,0,62,74,0,20,0,0,84,67,0,0,0,0,0,122,26,179,136,142,69,14,0,6,0,0,0,0,0,0,0,0,427,816,8,5,0,6,0,0,0,182,1008,376,49,0,0,0,1
2016-06-20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,118,0,7,37,76,19,0,0,454,136,245,79,42,35,0,0,146,21,14,0,0,25,20,0,13,25,0,0,0,0,0,13,202,31,82,0,146,11,0,0,60,18,0,0
2016-06-21,0,0,0,0,0,65,10,0,0,8,19,0,120,58,296,24,0,85,0,0,8,20,9,7,0,0,272,0,16,11,0,0,13,0,0,15,14,49,0,0,63,0,0,0,0,0,0,25,0,32,14,21,10,59,4,9,0,7,28,0,0,0
2016-06-22,0,0,0,0,0,0,0,18,0,275,0,0,87,0,0,0,35,102,127,0,0,0,0,0,0,9,125,137,79,0,54,0,0,15,19,27,6,21,11,19,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,11,0,7,0,0,0,0
2016-06-23,0,15,65,0,0,0,110,6,34,24,10,73,12,212,105,142,119,43,104,220,28,55,126,203,593,146,0,137,7,14,322,90,225,0,0,0,7,0,7,277,12,21,0,0,52,16,63,0,55,13,0,97,20,0,0,73,0,5,60,0,0,1
2016-06-24,0,0,0,0,13,0,0,0,0,32,18,0,0,0,0,39,0,0,16,0,0,0,0,0,0,0,0,0,0,22,7,0,0,29,13,0,0,15,0,17,0,0,13,0,21,0,21,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
2016-06-25,0,0,0,9,0,0,0,0,0,34,41,0,34,0,0,0,30,0,16,0,12,32,20,316,162,0,48,0,0,0,118,0,57,13,0,0,0,128,124,14,174,15,24,90,18,103,0,6,18,11,13,0,0,4,31,0,0,32,0,0,0,0
2016-06-26,0,26,39,34,0,49,18,0,0,28,0,7,0,96,0,71,52,78,46,0,0,0,43,20,52,347,36,17,0,39,36,30,37,27,0,0,0,4,16,40,0,0,0,36,17,5,0,46,0,20,0,37,17,17,35,0,0,0,0,89,0,0
2016-06-27,0,0,0,0,62,0,6,28,0,62,0,0,8,110,0,0,7,177,114,1,0,0,42,13,17,0,5,0,17,57,0,21,36,0,0,28,16,50,9,0,0,0,0,0,0,0,0,134,13,7,0,55,0,0,0,28,4,0,15,0,0,0
2016-06-28,0,0,0,0,0,0,34,16,11,0,0,0,0,0,36,74,640,0,296,158,0,454,31,0,331,0,0,0,6,10,0,35,0,0,0,0,53,45,13,29,77,0,14,0,0,0,45,0,52,31,6,0,0,0,109,34,0,13,0,0,0,0
2016-06-29,12,10,0,0,38,0,0,0,0,0,17,0,0,0,0,102,100,0,0,0,24,0,23,126,22,0,0,0,86,12,0,0,0,25,6,362,69,11,36,233,242,444,100,29,25,79,47,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
2016-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
